date,home_team,away_team,tournament,neutral,actual_result,predicted_result,home_win_probability,draw_probability,away_win_probability,correct,actual_home_score,actual_away_score,actual_scoreline,predicted_home_score,predicted_away_score,predicted_scoreline,expected_home_goals,expected_away_goals,expected_total_goals,exact_score_correct,confidence,analysis,key_factors,alternate_scorelines,status,error
2026-06-09,Indonesia,Mozambique,Friendly,0,HOME_WIN,HOME_WIN,0.593113,0.210048,0.196839,1,1,0,1-0,2,1,2-1,2.0451,1.0934,3.1385,0,0.05,,[],"[{""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.099144}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.096958}, {""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.090675}, {""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.088675}, {""home_score"": 3, ""away_score"": 1, ""scoreline"": ""3-1"", ""result"": ""HOME_WIN"", ""probability"": 0.067587}]",SUCCESS,
2026-06-09,Tajikistan,India,Friendly,0,DRAW,HOME_WIN,0.85361,0.110168,0.036222,0,1,1,1-1,2,0,2-0,2.6844,0.4022,3.0866,0,0.15,,[],"[{""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.164805}, {""home_score"": 3, ""away_score"": 0, ""scoreline"": ""3-0"", ""result"": ""HOME_WIN"", ""probability"": 0.147468}, {""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.122788}, {""home_score"": 4, ""away_score"": 0, ""scoreline"": ""4-0"", ""result"": ""HOME_WIN"", ""probability"": 0.098966}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.066285}]",SUCCESS,
2026-06-09,Azerbaijan,San Marino,Friendly,1,HOME_WIN,HOME_WIN,0.739111,0.155316,0.105573,1,2,1,2-1,2,0,2-0,2.5798,0.8797,3.4595,0,0.85,,[],"[{""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.104789}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.092182}, {""home_score"": 3, ""away_score"": 0, ""scoreline"": ""3-0"", ""result"": ""HOME_WIN"", ""probability"": 0.090111}, {""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.081238}, {""home_score"": 3, ""away_score"": 1, ""scoreline"": ""3-1"", ""result"": ""HOME_WIN"", ""probability"": 0.079271}]",SUCCESS,
2026-06-09,China,Thailand,Friendly,0,DRAW,AWAY_WIN,0.22551,0.209505,0.564985,0,0,0,0-0,1,2,1-2,1.2567,2.0884,3.3451,0,0.85,,[],"[{""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.096653}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.092562}, {""home_score"": 0, ""away_score"": 2, ""scoreline"": ""0-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.07691}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.073654}, {""home_score"": 1, ""away_score"": 3, ""scoreline"": ""1-3"", ""result"": ""AWAY_WIN"", ""probability"": 0.067283}]",SUCCESS,
2026-06-09,Equatorial Guinea,Comoros,Friendly,1,AWAY_WIN,AWAY_WIN,0.323696,0.293054,0.38325,1,0,1,0-1,1,1,1-1,1.0261,1.1438,2.1699,0,0.35,,[],"[{""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.134019}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.13061}, {""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.11717}, {""home_score"": 0, ""away_score"": 0, ""scoreline"": ""0-0"", ""result"": ""DRAW"", ""probability"": 0.11419}, {""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.076645}]",SUCCESS,
2026-06-09,Belarus,Burkina Faso,Friendly,0,DRAW,AWAY_WIN,0.262313,0.215489,0.522198,0,2,2,2-2,1,2,1-2,1.3825,2.0172,3.3997,0,0.95,,[],"[{""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.093924}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.093123}, {""home_score"": 0, ""away_score"": 2, ""scoreline"": ""0-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.067938}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.067359}, {""home_score"": 2, ""away_score"": 2, ""scoreline"": ""2-2"", ""result"": ""DRAW"", ""probability"": 0.064925}]",SUCCESS,
2026-06-09,Angola,Central African Republic,Friendly,1,HOME_WIN,HOME_WIN,0.624453,0.223296,0.15225,1,3,0,3-0,1,0,1-0,1.8183,0.7648,2.5831,0,0.85,,[],"[{""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.13737}, {""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.12489}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.10506}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.095516}, {""home_score"": 3, ""away_score"": 0, ""scoreline"": ""3-0"", ""result"": ""HOME_WIN"", ""probability"": 0.075696}]",SUCCESS,
2026-06-09,Cambodia,Hong Kong,Friendly,0,HOME_WIN,AWAY_WIN,0.218864,0.20628,0.574856,0,2,0,2-0,1,2,1-2,1.2514,2.1303,3.3817,0,0.15,,[],"[{""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.096552}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.090646}, {""home_score"": 0, ""away_score"": 2, ""scoreline"": ""0-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.077155}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.072436}, {""home_score"": 1, ""away_score"": 3, ""scoreline"": ""1-3"", ""result"": ""AWAY_WIN"", ""probability"": 0.068561}]",SUCCESS,
True,True,/Users/gaoheyang/Documents/agent/data/processed/world_cup_2026_features_train.csv,2026-06-11,Mexico,South Africa,FIFA World Cup,0,HOME_WIN,HOME_WIN,0.676829,0.219169,0.104002,1,2,0,2-0,1,0,1-0,1.7651,0.5241,2.2892,0,0.25,,[],"[{""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.178905}, {""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.157893}, {""home_score"": 0, ""away_score"": 0, ""scoreline"": ""0-0"", ""result"": ""DRAW"", ""probability"": 0.101357}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.093764}, {""home_score"": 3, ""away_score"": 0, ""scoreline"": ""3-0"", ""result"": ""HOME_WIN"", ""probability"": 0.092899}]",SUCCESS,
True,True,/Users/gaoheyang/Documents/agent/data/processed/world_cup_2026_features_train.csv,2026-06-11,South Korea,Czech Republic,FIFA World Cup,1,HOME_WIN,AWAY_WIN,0.300002,0.232304,0.467694,0,2,1,2-1,1,1,1-1,1.372,1.7633,3.1353,0,0.85,,[],"[{""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.105216}, {""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.092764}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.076688}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.072179}, {""home_score"": 0, ""away_score"": 2, ""scoreline"": ""0-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.067612}]",SUCCESS,
True,True,/Users/gaoheyang/Documents/agent/data/processed/world_cup_2026_features_train.csv,2026-06-12,Canada,Bosnia and Herzegovina,FIFA World Cup,0,DRAW,HOME_WIN,0.526937,0.27015,0.202912,0,1,1,1-1,1,0,1-0,1.4347,0.7765,2.2112,0,0.95,,[],"[{""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.157202}, {""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.122067}, {""home_score"": 2, ""away_score"": 0, ""scoreline"": ""2-0"", ""result"": ""HOME_WIN"", ""probability"": 0.112769}, {""home_score"": 0, ""away_score"": 0, ""scoreline"": ""0-0"", ""result"": ""DRAW"", ""probability"": 0.109571}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.087565}]",SUCCESS,
True,True,/Users/gaoheyang/Documents/agent/data/processed/world_cup_2026_features_train.csv,2026-06-12,United States,Paraguay,FIFA World Cup,0,HOME_WIN,HOME_WIN,0.390302,0.236388,0.37331,1,4,1,4-1,1,1,1-1,1.5941,1.5546,3.1487,0,0.35,,[],"[{""home_score"": 1, ""away_score"": 1, ""scoreline"": ""1-1"", ""result"": ""DRAW"", ""probability"": 0.106342}, {""home_score"": 2, ""away_score"": 1, ""scoreline"": ""2-1"", ""result"": ""HOME_WIN"", ""probability"": 0.08476}, {""home_score"": 1, ""away_score"": 2, ""scoreline"": ""1-2"", ""result"": ""AWAY_WIN"", ""probability"": 0.08266}, {""home_score"": 1, ""away_score"": 0, ""scoreline"": ""1-0"", ""result"": ""HOME_WIN"", ""probability"": 0.068405}, {""home_score"": 0, ""away_score"": 1, ""scoreline"": ""0-1"", ""result"": ""AWAY_WIN"", ""probability"": 0.06671}]",SUCCESS,
