match_id,prediction_date,kickoff_time,home_team,away_team,tournament,stage,group,neutral,status
wc2026_001,2026-06-13,,Australia,Turkey,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_002,2026-06-13,,Brazil,Morocco,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_003,2026-06-13,,Haiti,Scotland,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_004,2026-06-13,,Qatar,Switzerland,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_005,2026-06-14,,Germany,Curaçao,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_006,2026-06-14,,Ivory Coast,Ecuador,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_007,2026-06-14,,Netherlands,Japan,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_008,2026-06-14,,Sweden,Tunisia,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_009,2026-06-15,,Belgium,Egypt,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_010,2026-06-15,,Iran,New Zealand,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_011,2026-06-15,,Saudi Arabia,Uruguay,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_012,2026-06-15,,Spain,Cape Verde,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_013,2026-06-16,,Argentina,Algeria,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_014,2026-06-16,,Austria,Jordan,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_015,2026-06-16,,France,Senegal,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_016,2026-06-16,,Iraq,Norway,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_017,2026-06-17,,England,Croatia,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_018,2026-06-17,,Ghana,Panama,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_019,2026-06-17,,Portugal,DR Congo,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_020,2026-06-17,,Uzbekistan,Colombia,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_021,2026-06-18,,Canada,Qatar,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_022,2026-06-18,,Czech Republic,South Africa,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_023,2026-06-18,,Mexico,South Korea,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_024,2026-06-18,,Switzerland,Bosnia and Herzegovina,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_025,2026-06-19,,Brazil,Haiti,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_026,2026-06-19,,Scotland,Morocco,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_027,2026-06-19,,Turkey,Paraguay,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_028,2026-06-19,,United States,Australia,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_029,2026-06-20,,Ecuador,Curaçao,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_030,2026-06-20,,Germany,Ivory Coast,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_031,2026-06-20,,Netherlands,Sweden,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_032,2026-06-20,,Tunisia,Japan,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_033,2026-06-21,,Belgium,Iran,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_034,2026-06-21,,New Zealand,Egypt,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_035,2026-06-21,,Spain,Saudi Arabia,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_036,2026-06-21,,Uruguay,Cape Verde,FIFA World Cup,Group Stage,,1,SCHEDULED
wc2026_037,2026-06-22,,Argentina,Austria,FIFA World Cup,Group Stage,,1,SCHEDULED
