date,home_team,away_team,tournament,city,country,neutral,home_elo,away_elo,elo_difference,home_rest_days,away_rest_days,rest_days_difference,home_score,away_score,target,result,home_matches_5,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_avg_goals_for_5,home_avg_goals_against_5,home_avg_goal_difference_5,home_avg_points_5,home_clean_sheet_rate_5,home_scoring_rate_5,home_matches_10,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_avg_goals_for_10,home_avg_goals_against_10,home_avg_goal_difference_10,home_avg_points_10,home_clean_sheet_rate_10,home_scoring_rate_10,away_matches_5,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_avg_goals_for_5,away_avg_goals_against_5,away_avg_goal_difference_5,away_avg_points_5,away_clean_sheet_rate_5,away_scoring_rate_5,away_matches_10,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_avg_goals_for_10,away_avg_goals_against_10,away_avg_goal_difference_10,away_avg_points_10,away_clean_sheet_rate_10,away_scoring_rate_10,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_avg_goals,h2h_away_avg_goals,is_world_cup,is_world_cup_qualifier,is_friendly,is_nations_league,is_confederation_tournament
1884-03-15,Scotland,England,British Home Championship,Glasgow,Scotland,0,1595.786246,1493.382503,102.403743,49,21,28,1,0,2,HOME_WIN,5.0,1.0,0.0,0.0,4.2,0.6,3.6,3.0,0.6,1.0,10.0,1.0,0.0,0.0,4.5,1.0,3.5,3.0,0.4,1.0,5.0,0.6,0.0,0.4,5.0,1.8,3.2,1.8,0.4,1.0,10.0,0.5,0.0,0.5,4.3,2.3,2.0,1.5,0.3,0.9,5.0,0.8,0.0,0.2,4.6,2.6,0,0,0,0,0
1885-03-21,England,Scotland,British Home Championship,London,England,0,1502.358868,1609.129953,-106.771085,7,7,0,1,1,1,DRAW,5.0,0.6,0.2,0.2,3.4,0.6,2.8,2.0,0.4,0.8,10.0,0.5,0.1,0.4,3.5,1.6,1.9,1.6,0.4,0.9,5.0,1.0,0.0,0.0,4.2,0.6,3.6,3.0,0.6,1.0,10.0,1.0,0.0,0.0,4.5,0.8,3.7,3.0,0.4,1.0,5.0,0.0,0.0,1.0,1.6,4.0,0,0,0,0,0
1886-03-27,Scotland,England,British Home Championship,Glasgow,Scotland,0,1622.658585,1512.975282,109.683303,7,14,-7,1,1,1,DRAW,5.0,0.8,0.2,0.0,5.6,1.4,4.2,2.6,0.0,1.0,10.0,0.9,0.1,0.0,4.5,0.9,3.6,2.8,0.4,1.0,5.0,0.6,0.4,0.0,3.2,0.6,2.6,2.2,0.4,1.0,10.0,0.6,0.2,0.2,3.8,0.8,3.0,2.0,0.4,0.9,5.0,0.8,0.2,0.0,3.2,1.0,0,0,0,0,0
1887-03-19,England,Scotland,British Home Championship,Blackburn,England,0,1538.898254,1624.547804,-85.64955,21,28,-7,2,3,0,AWAY_WIN,5.0,0.8,0.2,0.0,4.2,0.6,3.6,2.6,0.4,1.0,10.0,0.6,0.3,0.1,3.1,0.6,2.5,2.1,0.4,0.9,5.0,0.8,0.2,0.0,4.8,1.2,3.6,2.6,0.0,1.0,10.0,0.8,0.2,0.0,4.3,1.0,3.3,2.6,0.2,1.0,5.0,0.0,0.4,0.6,1.0,2.2,0,0,0,0,0
1888-03-17,Scotland,England,British Home Championship,Glasgow,Scotland,0,1644.17896,1534.250546,109.928414,7,42,-35,0,5,0,AWAY_WIN,5.0,1.0,0.0,0.0,3.6,1.0,2.6,3.0,0.2,1.0,10.0,0.8,0.2,0.0,4.3,1.2,3.1,2.6,0.1,1.0,5.0,0.8,0.0,0.2,4.2,1.0,3.2,2.4,0.4,1.0,10.0,0.6,0.3,0.1,3.4,0.9,2.5,2.1,0.3,1.0,5.0,0.6,0.4,0.0,1.8,1.2,0,0,0,0,0
1889-04-13,England,Scotland,British Home Championship,London,England,0,1565.229549,1640.942502,-75.712953,42,35,7,2,3,0,AWAY_WIN,5.0,1.0,0.0,0.0,5.0,0.8,4.2,3.0,0.2,1.0,10.0,0.8,0.1,0.1,4.2,0.9,3.3,2.5,0.3,1.0,5.0,0.8,0.0,0.2,5.2,1.6,3.6,2.4,0.4,0.8,10.0,0.8,0.1,0.1,4.0,1.3,2.7,2.5,0.3,0.9,5.0,0.2,0.4,0.4,1.8,1.2,0,0,0,0,0
1890-04-05,Scotland,England,British Home Championship,Glasgow,Scotland,0,1654.548038,1570.755605,83.792433,7,21,-14,1,1,1,DRAW,5.0,0.8,0.2,0.0,3.8,0.6,3.2,2.6,0.6,0.8,10.0,0.8,0.1,0.1,4.0,1.1,2.9,2.5,0.5,0.8,5.0,0.8,0.0,0.2,4.8,1.4,3.4,2.4,0.0,1.0,10.0,0.8,0.0,0.2,4.5,1.2,3.3,2.4,0.2,1.0,5.0,0.4,0.4,0.2,1.6,2.2,0,0,0,0,0
1891-04-04,England,Scotland,British Home Championship,Blackburn,England,0,1582.265058,1658.018308,-75.75325,28,7,21,2,1,2,HOME_WIN,5.0,0.8,0.2,0.0,4.6,1.0,3.6,2.6,0.0,1.0,10.0,0.8,0.1,0.1,4.5,1.1,3.4,2.5,0.1,1.0,5.0,0.8,0.2,0.0,3.2,1.2,2.0,2.6,0.2,1.0,10.0,0.8,0.2,0.0,4.0,1.0,3.0,2.6,0.4,0.9,5.0,0.2,0.4,0.4,2.2,1.6,0,0,0,0,0
1892-04-02,Scotland,England,British Home Championship,Glasgow,Scotland,0,1655.145374,1604.846409,50.298965,7,28,-21,1,4,0,AWAY_WIN,5.0,0.8,0.0,0.2,3.2,1.8,1.4,2.4,0.0,1.0,10.0,0.7,0.2,0.1,2.9,1.3,1.6,2.3,0.2,0.9,5.0,1.0,0.0,0.0,3.2,0.6,2.6,3.0,0.4,1.0,10.0,0.8,0.1,0.1,3.7,1.0,2.7,2.5,0.2,1.0,5.0,0.4,0.2,0.4,1.6,2.4,0,0,0,0,0
1893-04-01,England,Scotland,British Home Championship,Richmond,England,0,1623.728676,1649.087284,-25.358608,19,7,12,5,2,2,HOME_WIN,5.0,1.0,0.0,0.0,4.0,0.4,3.6,3.0,0.6,1.0,10.0,0.9,0.1,0.0,3.6,0.7,2.9,2.8,0.3,1.0,5.0,0.8,0.0,0.2,4.8,1.6,3.2,2.4,0.2,1.0,10.0,0.7,0.1,0.2,3.6,1.6,2.0,2.2,0.1,1.0,5.0,0.6,0.2,0.2,2.8,1.2,0,0,0,0,0
